Tanggal_Beli,Jam_Beli,Keberangkatan,Jam,Estimasi,kd_tiket,Harga_Tiket,Pembelian,Metode,kode_asal,kode_tujuan,Kode_Trayek,Layanan,Segmentasi,Kantor_Cabang,Tahun,H_plus,lead_time,Asal,Tujuan,Trayek
2022-05-02,17:08:26,2022-05-03,17:00:00,17:00:00,4c0f9505872643814395,135000,LOKET,Tunai,BKT,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,1,Terminal Bukateja,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,09:57:25,2022-05-03,17:00:00,17:00:00,187e8f1b032fbcd8c088,135000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,10:00:09,2022-05-03,19:00:00,19:00:00,8bb9a000ead8b8bb2,195000,Agen Pemasaran,Deposit,AJB,KMO,AJB-KMO,BNS,AKAP,Purwokerto,2022,1,0,Terminal Ajibarang,Pool DAMRI Kemayoran,Terminal Ajibarang - Pool DAMRI Kemayoran
2022-05-03,14:03:29,2022-05-03,17:00:00,17:00:00,2aabec526a5983f8dba6,210000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-02,10:40:36,2022-05-03,19:00:00,17:00:00,37c6dfbb7a5dca2bf43a,385000,Traveloka,Transfer,TAJR,KMO,SBY-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,1,Terminal Arjosari/ Pool DAMRI Malang,Pool DAMRI Kemayoran,Terminal Bungur Asih - Pool DAMRI Kemayoran
2022-05-02,11:45:41,2022-05-03,19:00:00,19:00:00,25fd995b785334483,170000,LOKET,Tunai,CLP,KLR,CLP-KMO,EKS,AKAP,Cilacap,2022,1,1,Pool DAMRI Cilacap,Terminal Klari,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-04-30,08:53:05,2022-05-03,19:00:00,17:00:00,389c0213a4b8ee3877b8,385000,Traveloka,Transfer,TAJR,KMO,SBY-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,3,Terminal Arjosari/ Pool DAMRI Malang,Pool DAMRI Kemayoran,Terminal Bungur Asih - Pool DAMRI Kemayoran
2022-04-25,09:39:24,2022-05-03,12:30:00,12:30:00,455b2c34c8519d7fdf7d,250000,Redbus,Transfer,YG,KMO,YG-KMO,EKS,AKAP,Purworejo,2022,1,8,Pool DAMRI Yogyakarta,Pool DAMRI Kemayoran,Pool DAMRI Yogyakarta - Pool DAMRI Kemayoran
2022-05-02,10:50:02,2022-05-03,19:00:00,19:00:00,8ad678a023805069d,170000,LOKET,Tunai,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,1,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-03,11:17:18,2022-05-03,16:30:00,16:30:00,75d7294646f3fb853b88,210000,LOKET,Tunai,WSB,KMO,WSB-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Wonosobo,Pool DAMRI Kemayoran,Terminal Wonosobo - Pool DAMRI Kemayoran
2022-05-03,09:02:10,2022-05-03,16:30:00,16:30:00,33d8711847cc784ddc0f,135000,LOKET,Tunai,WSB,KMO,WSB-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Wonosobo,Pool DAMRI Kemayoran,Terminal Wonosobo - Pool DAMRI Kemayoran
2022-05-01,10:04:39,2022-05-03,14:00:00,13:00:00,1331b3856eeab146d7b2,456000,Traveloka,Transfer,BWI,KMO,BWI-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,2,Terminal Brawijaya Banyuwangi,Pool DAMRI Kemayoran,Terminal Brawijaya Banyuwangi - Pool DAMRI Kemayoran
2022-05-03,08:27:24,2022-05-03,17:00:00,17:00:00,6f66af5f03f1920f30cf,135000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,16:11:21,2022-05-03,17:00:00,17:00:00,66a20c640ebfd99ee8d4,210000,LOKET,Tunai,BKT,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Bukateja,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-02,14:44:05,2022-05-03,18:30:00,17:00:00,8c410c7677d47d368,195000,Agen Pemasaran,Deposit,BBS,KMO,BBS-KMO,BNS,AKAP,Purwokerto,2022,1,1,Terminal Bobotsari,Pool DAMRI Kemayoran,Terminal Bobotsari - Pool DAMRI Kemayoran
2022-04-30,17:06:50,2022-05-03,17:00:00,17:00:00,8ef62729be8a8af50fde,135000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,3,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-02,15:28:02,2022-05-03,19:00:00,19:00:00,50cfeac37d289039740c,345000,Redbus,Transfer,SBY,KMO,SBY-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,1,Terminal Bungur Asih,Pool DAMRI Kemayoran,Terminal Bungur Asih - Pool DAMRI Kemayoran
2022-05-03,18:05:51,2022-05-03,19:00:00,19:00:00,9ef76e2a2f8ac79e5,170000,LOKET,Tunai,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,0,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-03,18:37:40,2022-05-03,19:00:00,19:00:00,911c1428d92ab4416,170000,LOKET,Tunai,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,0,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-03,14:58:45,2022-05-03,18:30:00,18:30:00,41f2f7c0f6b83837a14f,195000,Traveloka,Transfer,PWT,KMO,PBG-PRS,BNS,AKAP,Purwokerto,2022,1,0,Pool Damri Purwokerto,Pool DAMRI Kemayoran,Terminal Purbalingga - Terminal Poris
2022-05-02,15:41:50,2022-05-03,16:30:00,16:30:00,5027d76ed909b93c275b,135000,LOKET,Tunai,WSB,KMO,WSB-KMO,BNS,AKAP,Jakarta,2022,1,1,Terminal Wonosobo,Pool DAMRI Kemayoran,Terminal Wonosobo - Pool DAMRI Kemayoran
2022-05-02,20:44:40,2022-05-03,14:00:00,21:00:00,6d6dd93ad1a3ae8d0160,345000,Redbus,Transfer,SBY,PGB,BWI-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,1,Terminal Bungur Asih,Terminal Pulogebang,Terminal Brawijaya Banyuwangi - Pool DAMRI Kemayoran
2022-05-02,15:36:43,2022-05-03,17:00:00,17:00:00,1ba760cefe276b66aa33,135000,LOKET,Tunai,BKT,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,1,Terminal Bukateja,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,09:09:58,2022-05-03,17:00:00,17:00:00,956dc12254b15762edc4,135000,LOKET,Tunai,BKT,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Bukateja,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,11:51:01,2022-05-03,17:00:00,17:00:00,7441ca9aace071206190,210000,LOKET,Tunai,PCNG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,0,Agen Damri Pucang,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,13:25:10,2022-05-03,18:30:00,17:00:00,7daa3b239a1b7eeb1,195000,Agen Pemasaran,Deposit,BBS,KMO,BBS-KMO,BNS,AKAP,Purwokerto,2022,1,0,Terminal Bobotsari,Pool DAMRI Kemayoran,Terminal Bobotsari - Pool DAMRI Kemayoran
2022-05-03,11:02:53,2022-05-03,19:00:00,19:00:00,59d4ea77e2abf530d,170000,Agen Pemasaran,Deposit,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,0,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-04-24,14:55:27,2022-05-03,19:00:00,19:00:00,15a27eb7e55c372014b3,345000,Redbus,Transfer,SBY,PGB,SBY-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,9,Terminal Bungur Asih,Terminal Pulogebang,Terminal Bungur Asih - Pool DAMRI Kemayoran
2022-05-03,10:02:29,2022-05-03,19:00:00,19:00:00,575a454c7285e5b46,170000,Agen Pemasaran,Deposit,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,0,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-02,20:38:49,2022-05-03,14:00:00,16:30:00,44716b01991640f0ab1b,445000,Redbus,Transfer,PDML,KMO,PDML-KMO,RYL,AKAP,Bandara Soekarno Hatta,2022,1,1,Pool DAMRI Malang,Pool DAMRI Kemayoran,Pool DAMRI Malang - Pool DAMRI Kemayoran
2022-05-03,14:17:32,2022-05-03,16:30:00,16:30:00,920d882368d5e666af1b,210000,LOKET,Tunai,WSB,KMO,WSB-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Wonosobo,Pool DAMRI Kemayoran,Terminal Wonosobo - Pool DAMRI Kemayoran
2022-05-01,19:59:07,2022-05-03,14:00:00,21:00:00,7b65f69436fc6d8897fa,345000,Traveloka,Transfer,SBY,PGB,BWI-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,2,Terminal Bungur Asih,Terminal Pulogebang,Terminal Brawijaya Banyuwangi - Pool DAMRI Kemayoran
2022-04-30,15:12:49,2022-05-03,17:00:00,17:00:00,431803f4cdb37892cc6d,135000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,3,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,10:11:08,2022-05-03,17:00:00,17:00:00,76cd445d7d04b3d8e996,135000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,17:10:13,2022-05-03,19:00:00,19:00:00,67250de870d884325,195000,Agen Pemasaran,Deposit,AJB,KMO,AJB-KMO,BNS,AKAP,Purwokerto,2022,1,0,Terminal Ajibarang,Pool DAMRI Kemayoran,Terminal Ajibarang - Pool DAMRI Kemayoran
2022-05-02,04:23:36,2022-05-03,17:00:00,17:00:00,116c6d123e687e6749c3,135000,LOKET,Tunai,PCNG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,1,Agen Damri Pucang,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-01,11:51:38,2022-05-03,19:00:00,17:00:00,9ab661f78218cc1e0cdb,385000,Traveloka,Transfer,TAJR,KMO,SBY-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,2,Terminal Arjosari/ Pool DAMRI Malang,Pool DAMRI Kemayoran,Terminal Bungur Asih - Pool DAMRI Kemayoran
2022-04-29,10:54:59,2022-05-03,19:00:00,19:00:00,63392716b32d86e00,170000,Admin,Tunai,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,4,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-01,13:52:12,2022-05-03,18:30:00,18:30:00,7f5bade9f939913b5bbf,195000,Traveloka,Transfer,PWT,KMO,PBG-PRS,BNS,AKAP,Purwokerto,2022,1,2,Pool Damri Purwokerto,Pool DAMRI Kemayoran,Terminal Purbalingga - Terminal Poris
2022-05-03,10:02:29,2022-05-03,19:00:00,19:00:00,2efec40c34774c1bd,170000,Agen Pemasaran,Deposit,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,0,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-04-28,06:39:48,2022-05-03,18:30:00,18:30:00,5c06d3551a0ab908f585,150000,Traveloka,Transfer,PWT,KMO,PBG-PRS,BNS,AKAP,Purwokerto,2022,1,5,Pool Damri Purwokerto,Pool DAMRI Kemayoran,Terminal Purbalingga - Terminal Poris
2022-05-02,11:41:00,2022-05-03,19:00:00,19:00:00,8a9032cccb5eb5127,170000,LOKET,Tunai,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,1,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-03,16:31:17,2022-05-03,16:30:00,16:30:00,9c8f18a444bfb959dbbe,210000,LOKET,Tunai,WSB,KMO,WSB-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Wonosobo,Pool DAMRI Kemayoran,Terminal Wonosobo - Pool DAMRI Kemayoran
2022-05-03,14:13:58,2022-05-03,16:30:00,16:30:00,09717f16d8fe344bcfae,210000,LOKET,Tunai,WSB,KMO,WSB-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Wonosobo,Pool DAMRI Kemayoran,Terminal Wonosobo - Pool DAMRI Kemayoran
2022-04-21,14:56:20,2022-05-03,14:00:00,18:00:00,43485ca6717734558222,423000,Traveloka,Transfer,TMKL,KMO,BWI-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,12,Terminal Minak Koncar Lumajang,Pool DAMRI Kemayoran,Terminal Brawijaya Banyuwangi - Pool DAMRI Kemayoran
2022-05-02,18:29:22,2022-05-03,17:00:00,17:00:00,60292e82e20ad60fa851,135000,LOKET,Tunai,PCNG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,1,Agen Damri Pucang,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-04-29,15:29:16,2022-05-03,17:00:00,17:00:00,684ac94eee55f4b59805,135000,Traveloka,Transfer,BKT,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,4,Terminal Bukateja,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,11:26:23,2022-05-03,18:30:00,17:00:00,670c5b1852ac193b0,195000,Agen Pemasaran,Deposit,BBS,KMO,BBS-KMO,BNS,AKAP,Purwokerto,2022,1,0,Terminal Bobotsari,Pool DAMRI Kemayoran,Terminal Bobotsari - Pool DAMRI Kemayoran
2022-05-02,13:38:22,2022-05-03,17:00:00,17:00:00,7002d408bccb08b980a7,135000,LOKET,Tunai,BKT,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,1,Terminal Bukateja,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-02,15:28:02,2022-05-03,19:00:00,19:00:00,73801172da640c1bdda3,345000,Redbus,Transfer,SBY,KMO,SBY-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,1,Terminal Bungur Asih,Pool DAMRI Kemayoran,Terminal Bungur Asih - Pool DAMRI Kemayoran
2022-05-03,18:37:40,2022-05-03,19:00:00,19:00:00,7e2cfc09cf00a5954,170000,LOKET,Tunai,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,0,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-04-29,16:02:56,2022-05-03,18:30:00,18:30:00,6d542b03f9346d945,195000,Admin,Tunai,PWT,KMO,PBG-PRS,BNS,AKAP,Purwokerto,2022,1,4,Pool Damri Purwokerto,Pool DAMRI Kemayoran,Terminal Purbalingga - Terminal Poris
2022-05-03,08:53:22,2022-05-03,16:30:00,16:30:00,2812602ce501982a735b,135000,LOKET,Tunai,WSB,KMO,WSB-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Wonosobo,Pool DAMRI Kemayoran,Terminal Wonosobo - Pool DAMRI Kemayoran
2022-04-25,14:47:58,2022-05-03,14:00:00,23:55:00,911be5401ab6cf621,260000,Admin,Tunai,SL,KMO,BWI-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,8,SOLO SURAKARTA,Pool DAMRI Kemayoran,Terminal Brawijaya Banyuwangi - Pool DAMRI Kemayoran
2022-05-02,17:08:26,2022-05-03,17:00:00,17:00:00,2f85917b09b97fee613e,135000,LOKET,Tunai,BKT,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,1,Terminal Bukateja,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,09:56:55,2022-05-03,17:00:00,17:00:00,8de4378e061e12d708e7,135000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-04-29,18:24:56,2022-05-03,19:00:00,19:00:00,89be57fb271b6a5fe,195000,Agen Pemasaran,Deposit,AJB,KMO,AJB-KMO,BNS,AKAP,Purwokerto,2022,1,4,Terminal Ajibarang,Pool DAMRI Kemayoran,Terminal Ajibarang - Pool DAMRI Kemayoran
2022-05-01,16:27:26,2022-05-03,17:00:00,17:00:00,0222f0fe33771dd7d2e3,135000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,2,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-01,12:19:00,2022-05-03,19:00:00,16:30:00,3033e66edb7493188,385000,LOKET,Tunai,PDML,KMO,SBY-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,2,Pool DAMRI Malang,Pool DAMRI Kemayoran,Terminal Bungur Asih - Pool DAMRI Kemayoran
2022-05-03,11:02:53,2022-05-03,19:00:00,19:00:00,951a5c99555b4d45c,170000,Agen Pemasaran,Deposit,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,0,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-02,10:39:11,2022-05-03,19:00:00,17:00:00,44eb574544e93bc6dbe9,385000,Traveloka,Transfer,TAJR,PGB,SBY-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,1,Terminal Arjosari/ Pool DAMRI Malang,Terminal Pulogebang,Terminal Bungur Asih - Pool DAMRI Kemayoran
2022-05-03,16:53:08,2022-05-03,18:30:00,18:30:00,205781b7c2d798e4d,195000,LOKET,Tunai,PWT,KMO,PBG-PRS,BNS,AKAP,Purwokerto,2022,1,0,Pool Damri Purwokerto,Pool DAMRI Kemayoran,Terminal Purbalingga - Terminal Poris
2022-05-02,19:57:15,2022-05-03,19:00:00,19:00:00,8735647f82ec15a4b,170000,Agen Pemasaran,Deposit,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,1,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-03,18:35:37,2022-05-03,18:30:00,18:30:00,29f3859d4c42ae0d8,195000,LOKET,Tunai,PWT,KMO,MDJ-KLS,BNS,AKAP,Purwokerto,2022,1,0,Pool Damri Purwokerto,Pool DAMRI Kemayoran,Terminal Mandiraja - Terminal Kalideres
2022-05-02,16:04:38,2022-05-03,16:30:00,16:30:00,4000f01e8798cc15c1c0,135000,LOKET,Tunai,WSB,KMO,WSB-KMO,BNS,AKAP,Jakarta,2022,1,1,Terminal Wonosobo,Pool DAMRI Kemayoran,Terminal Wonosobo - Pool DAMRI Kemayoran
2022-04-30,11:19:00,2022-05-03,14:00:00,18:00:00,87370fc0f3c9418c190b,423000,Traveloka,Transfer,TMKL,PGB,BWI-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,3,Terminal Minak Koncar Lumajang,Terminal Pulogebang,Terminal Brawijaya Banyuwangi - Pool DAMRI Kemayoran
2022-04-30,15:13:19,2022-05-03,17:00:00,17:00:00,4a7ccb762703fa0f3e45,135000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,3,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,10:11:34,2022-05-03,17:00:00,17:00:00,96c362d0b54fcd062ace,135000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,11:50:18,2022-05-03,18:30:00,18:30:00,0799363d0580785ee,195000,LOKET,Tunai,PWT,KMO,BBS-KMO,BNS,AKAP,Purwokerto,2022,1,0,Pool Damri Purwokerto,Pool DAMRI Kemayoran,Terminal Bobotsari - Pool DAMRI Kemayoran
2022-05-02,04:24:01,2022-05-03,17:00:00,17:00:00,5da11a8543d07f4389a8,135000,LOKET,Tunai,PCNG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,1,Agen Damri Pucang,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-04-24,14:55:27,2022-05-03,19:00:00,19:00:00,65f4cad5a6ac5f0d1f47,345000,Redbus,Transfer,SBY,PGB,SBY-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,9,Terminal Bungur Asih,Terminal Pulogebang,Terminal Bungur Asih - Pool DAMRI Kemayoran
2022-05-02,18:22:29,2022-05-03,19:00:00,19:00:00,115d3b6804130ac76,170000,LOKET,Tunai,CLP,KPR,CLP-KMO,EKS,AKAP,Cilacap,2022,1,1,Pool DAMRI Cilacap,Kampung Rambutan ,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-04,06:22:17,2022-05-04,19:00:00,19:00:00,12d69d3aa2bf39aba,185000,Agen Pemasaran,Deposit,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,2,0,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-04,08:40:38,2022-05-04,19:00:00,19:00:00,2d2918a626340cb2968a,185000,Redbus,Transfer,CLP,KPR,CLP-KMO,EKS,AKAP,Cilacap,2022,2,0,Pool DAMRI Cilacap,Kampung Rambutan ,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-04,10:52:03,2022-05-04,17:00:00,17:00:00,8ee446b691ab0a866288,325000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,2,0,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
